Account,Date,Sentiment,Daily_PnL,Trades_Today
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Extreme Greed,0.0,177
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Extreme Greed,0.0,68
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Extreme Greed,0.0,40
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Extreme Greed,-21227.0,12
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Extreme Greed,1603.1,27
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Extreme Greed,-132271.0,82
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Extreme Greed,0.0,23
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,-175611.00005600002,33
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Extreme Greed,71393.964098,465
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Extreme Greed,40218.599998,51
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,76710.0,10
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,101011.685664,839
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,375620.270243,531
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,44400.9058,210
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,30897.0887,141
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,55086.0,48
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,0.0,6
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,10152.12224,59
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,115445.395538,219
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Extreme Fear,115287.0,55
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Extreme Fear,9482.221441,45
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,533974.662903,641
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,40200.0,5
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,307855.80341,31
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Extreme Greed,11715.94323,55
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Extreme Greed,0.0,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,0.0,34
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Extreme Greed,3515.031065,26
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Extreme Greed,0.0,46
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Extreme Greed,2517.787385,64
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Extreme Greed,1613.165903,59
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Extreme Greed,0.0,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,1245.51851,34
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,Greed,0.0,13
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,Extreme Greed,4493.232479,17
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,Extreme Greed,1047.030992,39
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,Extreme Greed,4842.054317,124
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,Extreme Greed,1693.493165,339
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,Extreme Greed,4221.156399,54
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,Greed,0.0,44
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,Greed,6899.2458320000005,56
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,Greed,0.0,46
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,Greed,7372.485101,55
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,Greed,1162.002541,78
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,Greed,6352.452613,517
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,Neutral,-12346.990829,124
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,Neutral,355.5854,159
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,Neutral,1129.8489260000001,160
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,Fear,-6820.76955,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,Extreme Fear,0.0,52
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,Fear,2480.902379,110
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,Extreme Fear,-3169.3554679999997,65
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,Fear,0.0,37
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,Fear,2099.019688,47
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,Fear,656.540742,65
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,Extreme Fear,-1065.797583,53
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,Fear,1591.753271,53
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,Neutral,-2315.377191,27
